w/WeiWang,Wei Wang 0010,University of California Los Angeles, Department of Computer Science, CA, USA
239/5023,Allison Koenecke,None
185/6054,Eric Giannella,None
135/5413,Robb Willer,None
37/6406,Sharad Goel,None
71/1725,Takeshi Kurashima,None
29/5953,Tomoharu Iwata,None
162/9077,Tomu Tominaga,None
46/5262,Shuhei Yamamoto,None
32/4046,Hiroyuki Toda,None
04/3561,Kazuhisa Takemura,None
318/3103,Karim Lasri,None
317/0236,Manuel Tonneau,None
356/9449,Haaya Naushan,None
356/8605,Niyati Malhotra,None
356/8983,Ibrahim Farouq,None
356/9408,Víctor Orozco-Olvera,None
182/2204,Samuel Fraiberger,None
264/7747,Sian Lee,None
244/0106,Haeseung Seo,None
l/DongwonLee,Dongwon Lee 0001,Pennsylvania State University, University Park, PA, USA
162/1393,Aiping Xiong,None
66/190,Chao Li,None
136/6673,Runhua Xu,None
72/6473,Li Duan,None
344/6279,Shaoyi Liaw,None
63/4135,Fan Huang,None
90/2878,Fabrício Benevenuto,Federal University of Minas Gerais
78/2468,Haewoon Kwak,Qatar Computing Research Institute
19/7354,Jisun An,None
336/3443,Zilin Lin,None
55/8775,Kasper Welbers,None
336/4056,Susan Vermeer,None
199/9090,Damian Trilling,None
07/320,Chen Ling,None
g/PKrishnaGummadi,Krishna P. Gummadi,Max Planck Institute for Software Systems
206/8853,Yujian Liu,None
25/3327,Tingting Liu,None
313/1270,Xiangyu Tao,None
132/8947,Sharath Chandra Guntuku,None
313/1996,Douglas Bellew,None
274/1668,Brenda Curtis,None
u/LyleHUngar,Lyle H. Ungar,University of Pennsylvania, Computer and Information Science Department
51/3865,Xuan Lu,None
40/9555-2,Wei Ai 0002,University of Maryland, College Park, MD, USA
32/6839,Yixin Wang,None
30/5059,Qiaozhu Mei,University of Michigan, Ann Arbor, USA
222/4006,Thomas Magelinski,None
72/6492,Kathleen M. Carley,Carnegie Mellon University, Pittsburgh, USA
131/9260,Shogo Matsuno,None
253/6986,Sakae Mizuki,None
73/8024,Takeshi Sakaki,None
29/758,Yelena Mejova,None
05/8360,Kyriaki Kalimeri,None
85/10807,Lydia Manikonda,None
203/8955,Julia Mendelsohn,None
67/6126,Sayan Ghosh,None
66/8462,Ceren Budak,University of Michigan, Ann Arbor, MI, USA
304/3514,Maya Merhi,None
42/8717,Sarah Rajtmajer,Penn State, University Park, USA
276/3236,Kunihiro Miyazaki,None
276/3223,Takayuki Uchiba,None
96/5080,Kenji Tanaka,None
27/6619,Kazutoshi Sasahara,None
170/1948,Lillio Mok,None
217/8964,Michael Inzlicht,None
21/8524,Ashton Anderson,None
248/8875,Pedro Ramaciotti Morales,None
356/9268,Manon Berriche,None
53/4896,Jean-Philippe Cointet,None
283/8656,Yida Mu,None
277/0737,Mali Jin,None
337/9951,Charlie Grimshaw,None
23/8672,Carolina Scarton,University of Sheffield, Department of Computer Science
b/KalinaBontcheva,Kalina Bontcheva,University of Sheffield, England, UK
185/5566,Xingyi Song,None
263/7010,Taichi Murayama,None
29/2555,Akira Matsui,None
52/6010,Yasuko Matsubara,None
s/YasushiSakurai,Yasushi Sakurai,None
277/0683,Lynnette Hui Xian Ng,None
207/7457,Utkarsh Patel,None
87/8324,Mainack Mondal,IIT Kharagpur, India
356/9533,Brooke Perreault,None
356/9570,Lan Dau,None
342/8187,Anya Wintner,None
97/592,Eni Mustafaraj,Wellesley College in Wellesley, MA, USA
325/4597,Flavio Petruzzellis,None
b/FBonchi,Francesco Bonchi,None
25/11207,Jürgen Pfeffer,Technical University Munich, Germany
338/9145,Daniel Matter,None
62/8212,Kokil Jaidka,National University of Singapore
135/8835,Onur Varol,None
226/7048,Afra Mashhadi,None
174/8902,Jana Lasser,Graz University of Technology, Austria
201/1363,Dennis Assenmacher,GESIS, Cologne, Germany
180/3252,Siqi Wu,None
70/11145,Diyi Yang,None
183/0454,Cornelia Brantner,None
40/3725,Jahna Otterbacher,Open University of Cyprus, Cyprus
237/2868,Carsten Schwemmer,None
126/6273,Kenneth Joseph,None
37/3550,David García 0001,Complexity Science Hub Vienna, Austria
51/9687,Fred Morstatter,University of Southern California, CA, USA
312/6687,Angelina Mooseder,None
317/7056,Luca Hammer,University of Siegen, Germany
288/9648,Oliver Stritzel,None
222/1804,Anahit Sargsyan,None
268/5471,Janina Susanne Pohl,University of Münster, Germany
302/9543,Simon Markmann,None
94/3183,Christian Grimme,Westfälische Wilhelms-Universität Münster, Germany
294/7983,Veniamin Veselovsky,None
47/2705,Giuseppe Russo,None
230/4406,Luca Verginer,None
183/6342,Giona Casiraghi,None
297/0492,Cinthia Sánchez,None
211/1420,Hernan Sarmiento,None
118/6644,Andrés Abeliuk,None
12/6407-1,Jorge Pérez 0001,Universidad de Chile, Santiago, Chile
83/6509,Barbara Poblete,University of Chile
222/5147,Ramit Sawhney,None
315/4311,Atula Tejaswi Neerkaje,None
92/49,Ivan Habernal,None
268/1049,Lucie Flek,Philipps Universität Marburg, Germany
243/0847,Joseph Schlessinger,None
117/4298,Kiran Garimella,None
239/7696,Maurice Jakesch,None
72/1229,Dean Eckles,None
185/6469,Annika Marie Schoene,None
286/4665,John E. Ortega,Northeastern University, Institute for Experiential AI, Boston, MA, USA
150/5339,Silvio Amir,None
c/KennethWardChurch,Kenneth Church 0001,Northeastern University, MA, USA
252/6782,Mohit Singhal,None
304/8313,Nihal Kumarswamy,None
304/8366,Shreyasi Kinhekar,None
17/10543,Shirin Nilizadeh,None
331/2671,Elisabeth Steffen,None
224/2615,Helena Mihaljevic,None
331/2684,Milena Pustet,None
331/2175,Nyco Bischoff,None
331/2021,María do Mar Castro Varela,None
331/2047,Yener Bayramoglu,None
331/2290,Bahar Oghalai,None
356/8615,Yangke Sun,None
05/6939,Bogdan Cautis,University of Paris-Sud, Orsay,France
91/9376,Silviu Maniu,None
62/5798,Lu Sun,None
32/6728,F. Maxwell Harper,None
15/4946,Chia-Jung Lee,None
84/3308,Vanessa Murdock 0001,Amazon Research, USA
227/6191,Kilian Theil,None
82/8159,Dirk Hovy,Bocconi University, Milan, Italy
50/5895,Heiner Stuckenschmidt,University of Mannheim, Germany
10/10038,Sho Tsugawa,None
86/7403,Kohei Watabe,None
276/5062,Apoorva Upadhyaya,None
40/8342,Marco Fisichella,None
